Id	Bleu	Key	Lda	Cosim	Ngram	Holistic	Score
1289	0.30958665450059925	6	4	0.4418359906158501	18.871802500531125	1	3
1440	0.05680327937714805	4	4	0.4416449397357948	7.724807137307138	1	1
1580	0.09054747998207209	9	4	0.3193902737751367	14.744690496122384	1	3
280	0.3092595854096612	6	4	0.4246614091949982	17.384953690100748	1	1
1557	0.23389347466146035	5	4	0.42843980534803494	15.186481552503224	2	2
634	0.01804766553082883	3	4	0.3102624095869987	6.320522533022533	0	0
788	0.050498174137121044	7	4	0.29416532994027067	16.27829168165855	3	3
715	0.15226505905708432	6	4	0.31188776795163353	11.682865663748018	1	2
727	0.09127015641867711	7	4	0.3083597877944155	30.165951334527175	3	1
336	0.19010120411360878	3	4	0.275057623223876	10.435109721719629	0	1
1494	0.03126068221903181	1	1	0.24862865886601027	5.543061921738392	0	0
69	0.14930701774958216	6	4	0.3695065519785204	9.453165163906853	0	3
896	0.34936236367924356	6	4	0.48374583790629255	28.3400004220589	1	2
1654	0.22521938495469926	6	4	0.46572073355205806	23.318529564055538	2	2
980	0.24089066404033924	7	4	0.43506294855445327	19.35761850378723	1	1
869	0.1994767733968421	3	5	0.3831363893301186	12.17142046979508	0	1
644	0.05298656552473786	1	3	0.16327889555533437	10.148455380189127	1	1
882	0.09976637261770681	2	5	0.32287208244296434	6.296539898010485	0	1
647	0.17962607405071865	7	4	0.3962200908453948	24.310501645757064	2	3
1015	0.27486893254130634	7	4	0.4982349798343374	19.94701041992063	1	2
1239	0.16424894366246717	7	4	0.4721545324545476	22.340979501234912	1	3
252	0.12666669461632085	10	4	0.42201818807566427	13.413251514567307	1	3
1333	0.16802102368136645	6	4	0.40114652807043816	28.360358999445683	2	1
503	0.10650912005946826	4	1	0.3934899233805291	12.14046210497449	0	2
392	0.08940593273020556	0	0	0.2608575167529133	6.032680571922058	0	1
1089	0.1635982401838861	7	4	0.5421511011266119	12.621212121212121	2	2
578	0.24352420272818556	8	4	0.4208204018433739	39.00052182360197	2	3
921	0.04156338949529451	3	1	0.24499854035923013	7.699920177861354	0	0
187	0.18231675252607457	5	4	0.3318748005044161	13.460832811839001	0	1
891	0.11775998955585743	0	0	0.3175014180239332	4.781545905075316	0	1
551	0.06817074692421282	6	4	0.3543935036377409	25.356485920564523	0	2
1299	0.26309963406628223	5	4	0.4676290095947446	12.42336209542092	1	1
376	0.027454226534172402	0	0	0.18497604163835285	5.466854181250466	0	0
17	0.36006000276095007	13	4	0.4718538232572647	23.482201901126047	2	3
68	0.1490488238354159	7	4	0.44457255718726263	22.663910599204712	0	2
1576	0.3180158433215792	7	4	0.46777446590364513	15.370506648942504	1	1
1071	0.16234687865410952	5	4	0.4064137656982242	23.144768445162164	2	2
